cmpd_id,subset,fold
CHEMBL577501,train_valid,0
CHEMBL204490,train_valid,0
CHEMBL566208,train_valid,0
CHEMBL1945248,train_valid,0
CHEMBL345689,train_valid,0
CHEMBL391864,train_valid,0
CHEMBL306208,train_valid,0
CHEMBL2338049,train_valid,0
CHEMBL1945243,train_valid,0
CHEMBL366170,train_valid,0
CHEMBL598202,train_valid,0
CHEMBL2206526,train_valid,0
CHEMBL425010,train_valid,0
CHEMBL2338031,train_valid,0
CHEMBL605502,train_valid,0
CHEMBL3105242,train_valid,0
CHEMBL190937,train_valid,0
CHEMBL610766,train_valid,0
CHEMBL311347,train_valid,0
CHEMBL241648,train_valid,0
CHEMBL202479,train_valid,0
CHEMBL566050,train_valid,0
CHEMBL2206514,train_valid,0
CHEMBL2337594,train_valid,0
CHEMBL603540,train_valid,0
CHEMBL612,train_valid,0
CHEMBL2337590,train_valid,0
CHEMBL588119,train_valid,0
CHEMBL2206511,train_valid,0
CHEMBL2206516,train_valid,0
CHEMBL190703,train_valid,0
CHEMBL67387,train_valid,0
CHEMBL566886,train_valid,0
CHEMBL2206524,train_valid,0
CHEMBL2337595,train_valid,0
CHEMBL2338044,train_valid,0
CHEMBL1214005,train_valid,0
CHEMBL1946574,train_valid,0
CHEMBL2206530,train_valid,0
CHEMBL2206536,train_valid,0
CHEMBL2338033,train_valid,0
CHEMBL396402,train_valid,0
CHEMBL207867,train_valid,0
CHEMBL2206513,train_valid,0
CHEMBL202518,train_valid,0
CHEMBL569699,train_valid,0
CHEMBL2337591,train_valid,0
CHEMBL174088,train_valid,0
CHEMBL1945253,train_valid,0
CHEMBL215376,train_valid,0
CHEMBL202410,train_valid,0
CHEMBL2337605,train_valid,0
CHEMBL394158,train_valid,0
CHEMBL42553,train_valid,0
CHEMBL1945244,train_valid,0
CHEMBL565396,train_valid,0
CHEMBL397889,train_valid,0
CHEMBL153062,train_valid,0
CHEMBL201666,train_valid,0
CHEMBL106939,train_valid,0
CHEMBL275212,train_valid,0
CHEMBL569465,train_valid,0
CHEMBL1944973,train_valid,0
CHEMBL189375,train_valid,0
