"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL1170211";"";"None";"309.39";"0";"3.33";"14";"Fc1cc(N2CCNCC2Cc2ccccc2)cc2cc[nH]c12";"Ki";"'='";"6.31";"nM";"8.20";"";"";"UO_0000065";"26.50";"0.49";"4.87";"26.40";"0";"CHEMBL1174565";"Displacement of [3H]-Nisoxetine from NET expressed in HEK293 cells by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177766";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307715";"";""
"CHEMBL1170794";"";"None";"305.43";"0";"3.20";"9";"Cn1ccc2cc(N3CCNCC3Cc3ccccc3)ccc21";"Ki";"'='";"50.12";"nM";"7.30";"";"";"UO_0000065";"23.90";"0.43";"4.10";"36.14";"0";"CHEMBL1174565";"Displacement of [3H]-Nisoxetine from NET expressed in HEK293 cells by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177766";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307715";"";""
"CHEMBL1083426";"1-(1-(2-FLUOROPHENYL)-2-(2-(TRIFLUOROMETHOXY)PHENYL)ETHYL)PIPERAZINE (ENANTIOMERIC MIX)";"None";"368.37";"0";"3.91";"(-)-6r";"Fc1ccccc1C(Cc1ccccc1OC(F)(F)F)N1CCNCC1";"Ki";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"21.09";"0.41";"3.86";"31.71";"0";"CHEMBL1120510";"Displacement of [3H]nisoxetine from human NET expressed in HEK293 cells by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155538";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"CHEMBL3307715";"";""
"CHEMBL356531";"";"None";"348.32";"1";"6.30";"5b (cis)";"CN([C@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21)C(C)(C)C";"Ki";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"16.24";"0.34";"-0.64";"174.62";"0";"CHEMBL752159";"Binding affinity against norepinephrine cloned human transporter using 40-80 pM [125I]RTI";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133565";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";""
"CHEMBL2113279";"";"None";"434.61";"1";"5.87";"4s";"COc1ccc(-c2cnc([C@H]3[C@@H](c4ccc(C)cc4)C[C@@H]4CC[C@H]3N4C)s2)cc1OC";"Ki";"'='";"1390.0";"nM";"5.86";"";"";"UO_0000065";"13.48";"0.26";"-0.01";"16.93";"0";"CHEMBL890742";"Displacement of [125I]RTI-55 from human NET expressed in HEK cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL226984";"";"None";"419.55";"1";"5.76";"4p";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4cccc([N+](=O)[O-])c4)s2)N3C)cc1";"Ki";"'='";"990.0";"nM";"6.00";"";"";"UO_0000065";"14.31";"0.27";"0.24";"10.13";"0";"CHEMBL890742";"Displacement of [125I]RTI-55 from human NET expressed in HEK cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL229381";"";"None";"409.00";"1";"6.51";"4l";"Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2c2ncc(-c4ccc(Cl)cc4)s2)N3C)cc1";"Ki";"'='";"2870.0";"nM";"5.54";"";"";"UO_0000065";"13.55";"0.27";"-0.97";"34.36";"0";"CHEMBL890742";"Displacement of [125I]RTI-55 from human NET expressed in HEK cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL388759";"";"None";"473.87";"1";"6.96";"4d";"CN1[C@H]2CC[C@@H]1[C@@H](c1ncc(-c3ccc(Br)cc3)s1)[C@@H](c1ccc(Cl)cc1)C2";"Ki";"'='";"3290.0";"nM";"5.48";"";"";"UO_0000065";"11.57";"0.27";"-1.48";"33.99";"0";"CHEMBL890742";"Displacement of [125I]RTI-55 from human NET expressed in HEK cells after 90 mins";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146223";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3307715";"";""
"CHEMBL458488";"";"None";"339.86";"0";"2.82";"7b";"CCOc1ccc([C@H]2C[C@H]3CC[C@H]([C@H]2C(=O)OC)N3C)cc1.Cl";"Ki";"'='";"1690.0";"nM";"5.77";"";"";"UO_0000065";"19.02";"0.36";"2.95";"14.89";"0";"CHEMBL1013551";"Displacement of [3H]nisoxetine from NET";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151730";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";""
"CHEMBL370805";"COCAINE";"4.0";"303.36";"0";"1.87";"cocaine";"COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C";"Ki";"'='";"1740.0";"nM";"5.76";"";"";"UO_0000065";"18.99";"0.36";"3.89";"10.31";"0";"CHEMBL872959";"Compound was evaluated for binding affinity using [125I]RTI-55 as a radioligand in HEK-hNET cells expressing human norepinephrine transporter";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK-hNET";"None";"";"";"";"CHEMBL222";"Norepinephrine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133189";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";""
